id,name,district,category,short_description,best_season,recommended_duration,budget_level,transport_options,latitude,longitude,image_links,youtube_links,full_text
1,Temple of the Tooth (Sri Dalada Maligawa),Kandy,religious,Sacred Buddhist temple in Kandy housing the Tooth Relic; UNESCO World Heritage site.,Year-round (avoid peak holiday crowds),2 hours,low,"tuk-tuk, car, bus, walking",7.293627,80.64135,"https://commons.wikimedia.org/wiki/File:Relic_Tooth_Temple._Kandy,_Sri_Lanka.jpg",https://www.youtube.com/watch?v=7gd9H6WpM3A,"The Temple of the Sacred Tooth Relic (Sri Dalada Maligawa) is one of the most revered Buddhist shrines in Sri Lanka, located within the former royal palace complex in Kandy. Visitors can explore the temple’s ornate architecture, museum sections, and observe daily rituals (pujas) that reflect centuries of Kandyan Buddhist heritage. The site is also central to major cultural events such as the Esala Perahera, and it offers strong historical and spiritual value for both local and international travelers."
2,"Royal Botanic Gardens, Peradeniya",Kandy,nature,Large botanical garden near Kandy with famous orchid house and diverse tropical collections.,Year-round (mornings are cooler),half day,low,"tuk-tuk, car, bus",7.269039,80.595539,"https://commons.wikimedia.org/wiki/File:Royal_Botanical_Gardens,_Peradeniya_-_panoramio.jpg",https://www.youtube.com/watch?v=B5q-GSHnuWs,"Royal Botanic Gardens, Peradeniya is Sri Lanka’s best-known botanical garden, featuring extensive collections of orchids, palms, spices, and medicinal plants. Spread across a large landscaped area near the Mahaweli River, the gardens include iconic avenues (such as palms) and large specimen trees. It is well-suited for relaxed walks, nature photography, and educational visits, and it is commonly included in Kandy day itineraries."
3,Hanthana Mountain Range (Hanthana Conservation Forest),Kandy,nature,Seven-peak mountain range near Kandy popular for hiking and panoramic views.,December to April (drier hiking weather),full day,low,"bus, tuk-tuk, hiking",7.256358,80.627634,https://commons.wikimedia.org/wiki/File:Hanthana_Mountain_Range.jpg,https://www.youtube.com/watch?v=j2Q9iz6wVg8,"The Hanthana Mountain Range, located southwest of Kandy, is a well-known trekking area in Sri Lanka’s central highlands. Hikers follow trails through grasslands and forest patches to reach viewpoints with wide panoramas of Kandy and surrounding ridges. The area is recognized for its environmental value and biodiversity, and it is suitable for travelers who prefer nature, hiking, and scenic photography."
4,Hanthana International Bird Park,Kandy,nature,Bird-focused eco-park near Hanthana Tea Museum featuring many exotic and local bird species.,Year-round,2 hours,medium,"car, tuk-tuk",7.26864,80.63266,https://i0.wp.com/amazinglanka.com/wp/wp-content/uploads/2025/07/hantanabirdpark-05.jpg,https://www.youtube.com/watch?v=tBV-NoQJgaw,"Hanthana International Bird Park is a relatively new attraction in the Hanthana hills near Kandy, located close to the Ceylon Tea Museum area. The park focuses on bird conservation and visitor engagement, offering opportunities to observe colorful bird species and family-friendly recreational activities. Because it is near other Hanthana attractions, it can be combined easily with a short tea museum visit or a scenic drive in the area."
5,Ambuluwawa Tower (Ambuluwawa Biodiversity Complex),Kandy,scenic,Multi-religious tower complex near Gampola with a narrow spiral climb and 360-degree views.,December to April (clearer views),half day,low,"car, tuk-tuk",7.16152,80.54736,https://commons.wikimedia.org/wiki/File:Ambuluwawa_tower.jpg,https://www.youtube.com/watch?v=LKu4xpgt6a8,"Ambuluwawa Tower is part of the Ambuluwawa Biodiversity Complex near Gampola and is known for its distinctive white spiral structure. Visitors can climb the narrow staircase to reach the upper levels and enjoy 360-degree views across the central highlands on clear days. The site also represents multi-religious harmony with several religious structures within the complex, making it popular for both scenic and cultural visits."
6,Nine Arches Bridge (Demodara),Badulla,scenic,Iconic brick railway viaduct near Ella; famous for viewpoints and passing trains.,December to April (drier weather; clearer views),2 hours,low,"tuk-tuk, hiking, train",6.876667,81.061111,"https://commons.wikimedia.org/wiki/File:Nine_arch_bridge,Demodara.jpg",https://www.youtube.com/watch?v=WQzWYtjCL4A,"The Nine Arches Bridge in Demodara, near Ella, is one of Sri Lanka’s most photographed railway landmarks. Built primarily from brick and stone, it spans a lush valley framed by tea plantations and forest. Visitors typically hike to popular viewpoints to watch trains cross the bridge and capture scenic photos, making it a key attraction for travelers exploring the Ella area."
7,Ella Rock,Badulla,adventure,Challenging hike from Ella with panoramic views of the Ella Gap and surrounding mountains.,December to April (better hiking conditions),half day,low,"hiking, train, tuk-tuk",6.855169,81.052269,https://commons.wikimedia.org/wiki/File:Ella_rock-_View_from_the_top.jpg,https://www.youtube.com/watch?v=YJPtMmDpAfE,"Ella Rock is a well-known hiking destination in the Badulla District, offering a rewarding viewpoint above Ella. The trail often follows sections near the railway line and passes tea estates and forested paths before a steeper final ascent. From the top, travelers can view the dramatic Ella Gap and layered hill-country landscapes, making it especially attractive for adventure-oriented visitors and sunrise hikes."
8,Diyaluma Falls,Badulla,waterfall,Sri Lanka’s second-highest waterfall; upper pools are popular for scenic swims (with caution).,February to July (conditions vary; check rain),half day,low,"car, tuk-tuk, hiking",6.733283,81.031469,https://commons.wikimedia.org/wiki/File:DIYALUMA_WATERFALL.jpg,https://www.youtube.com/watch?v=Q7YYaJKxfw4,"Diyaluma Falls is a major waterfall near Koslanda in the Badulla District, known for its impressive drop and scenic surroundings. Many visitors hike to the upper section where natural rock pools form, offering dramatic views over the edge. Because water levels and rock surfaces can be dangerous, this location is best visited with safety awareness and local guidance, especially during or after heavy rain."
9,Ravana Falls (Ravana Ella),Badulla,waterfall,Roadside waterfall near Ella linked to Ramayana legend; quick stop for photos and views.,Year-round (strongest flow in wet season),1 hour,low,"car, tuk-tuk, bus",6.903889,81.051667,https://commons.wikimedia.org/wiki/File:Ravana_Falls_(Ella).jpg,https://www.youtube.com/watch?v=t4yPhlk_eUo,"Ravana Falls (Ravana Ella) is a popular cascade located a short distance from Ella and easily accessible from the roadside. It is associated with local legend and is well known as a quick scenic stop for travelers heading between Ella and Wellawaya. During wetter periods the waterfall becomes more dramatic, and the surrounding greenery provides a strong backdrop for photographs."
10,Flying Ravana Mega Zip Line,Badulla,adventure,Adventure park zip line near Ella offering fast rides over tea estates and valley views.,Year-round (weather-dependent activity),2 hours,high,"tuk-tuk, car",6.86598,81.06207,https://www.flyingravana.com/gallery.html,https://www.youtube.com/watch?v=anwI6-7XzGg,"Flying Ravana Mega Zip Line is an adventure activity near Ella, designed for travelers seeking a high-adrenaline experience with hill-country scenery. The ride traverses a valley with views of tea estates and the Ella area. As with any outdoor activity, operations and comfort depend on weather conditions, and visitors should follow safety instructions and eligibility requirements provided by the operator."
